Date,LKR_per_Oz,LKR_per_XAU_Inverse
2024-03-28,661225.3511,0
2024-03-27,657503.7044,0
2024-03-26,657416.2277,0
2024-03-25,660444.3487,0
2024-03-22,661296.8254,0
2024-03-21,670994.7390,0
2024-03-20,656229.9088,0
2024-03-19,658503.3392,0
2024-03-18,656909.3604,0
2024-03-15,661047.0452,0
2024-03-14,666024.9178,0
2024-03-13,662199.5945,0
2024-03-12,669528.6322,0
2024-03-11,669954.8592,0
2024-03-07,660532.5428,0
2024-03-06,654262.1400,0
2024-03-05,650912.9024,0
2024-03-04,643729.6161,0
2024-03-01,633779.3917,0
2024-02-29,631623.8903,0
2024-02-28,631565.5268,0
2024-02-27,631775.2107,0
2024-02-26,631896.9183,0
2024-02-22,631791.0845,0
2024-02-21,632728.2244,0
2024-02-20,630208.7637,0
2024-02-19,631234.7735,0
2024-02-16,627418.5234,0
2024-02-15,624100.2651,0
2024-02-14,624292.2265,0
2024-02-13,632582.2560,0
2024-02-12,633124.9470,0
2024-02-09,638048.9937,0
2024-02-08,638077.0015,0
2024-02-07,639169.5555,0
2024-02-06,632432.0805,0
2024-02-05,634113.5714,0
2024-02-02,644641.2222,0
2024-02-01,646984.9609,0
2024-01-31,645452.5852,0
2024-01-30,645668.8923,0
2024-01-29,642417.7175,0
2024-01-26,645896.6328,0
2024-01-24,648183.2744,0
2024-01-23,647486.0357,0
2024-01-22,650631.2829,0
2024-01-19,649352.4691,0
2024-01-18,645426.3493,0
2024-01-17,653193.5079,0
2024-01-16,660648.2825,0
2024-01-12,656572.4740,0
2024-01-11,655795.2479,0
2024-01-10,655447.6108,0
2024-01-09,656206.7880,0
2024-01-08,658780.6308,0
2024-01-05,660099.3722,0
2024-01-04,658732.3982,0
2024-01-03,662661.6264,0
2024-01-02,667794.0897,0
2024-01-01,668309.1651,0
2023-12-29,670390.0421,0
2023-12-28,676497.5971,0
2023-12-27,672799.9132,0
2023-12-22,669040.6334,0
2023-12-21,665454.3479,0
2023-12-20,666505.6443,0
2023-12-19,662250.1353,0
2023-12-18,660761.4320,0
2023-12-15,665307.7024,0
2023-12-14,664242.6492,0
2023-12-13,647142.2730,0
2023-12-12,648814.2495,0
2023-12-11,653174.6094,0
2023-12-08,663699.5619,0
2023-12-07,663820.7186,0
2023-12-06,662992.8088,0
2023-12-05,667296.2353,0
2023-12-04,684041.5819,0
2023-12-01,669046.2360,0
2023-11-30,672445.6512,0
2023-11-29,674404.4228,0
2023-11-28,663516.3817,0
2023-11-27,660575.9584,0
2023-11-24,654977.3895,0
2023-11-23,654995.8524,0
2023-11-22,655517.8492,0
2023-11-21,652983.0645,0
2023-11-20,650240.1858,0
2023-11-17,651059.6250,0
2023-11-16,644714.7945,0
2023-11-15,642820.4617,0
2023-11-14,635898.7259,0
2023-11-13,634736.4244,0
2023-11-10,643042.8804,0
2023-11-09,640939.7345,0
2023-11-08,644284.6508,0
2023-11-07,647094.7401,0
2023-11-06,654926.3640,0
2023-11-03,653498.0406,0
2023-11-02,651359.6676,0
2023-11-01,648249.9138,0
2023-10-31,653370.3909,0
2023-10-30,655615.9539,0
2023-10-27,649028.1438,0
2023-10-26,648343.5943,0
2023-10-25,646098.7282,0
2023-10-24,645146.8741,0
2023-10-23,640607.5650,0
2023-10-20,642993.3165,0
2023-10-19,632193.0051,0
2023-10-18,629486.1155,0
2023-10-17,619550.8816,0
2023-10-16,622203.7507,0
2023-10-13,606521.6618,0
2023-10-12,607521.0364,0
2023-10-11,602491.2826,0
2023-10-10,603308.5073,0
2023-10-09,599462.3582,0
2023-10-06,590267.7203,0
2023-10-05,591308.4066,0
2023-10-04,589801.8104,0
2023-10-03,588344.6000,0
2023-10-02,596255.6520,0
2023-09-27,616773.6456,0
2023-09-26,621327.2019,0
2023-09-25,623863.2047,0
2023-09-22,624959.6403,0
2023-09-21,625595.9553,0
2023-09-20,625528.9800,0
2023-09-19,625795.3898,0
2023-09-18,623255.1894,0
2023-09-15,619360.4759,0
2023-09-14,617504.4611,0
2023-09-13,615836.5431,0
2023-09-12,619557.4159,0
2023-09-11,618742.8397,0
2023-09-08,620916.8453,0
2023-09-07,617860.1058,0
2023-09-06,620037.3537,0
2023-09-05,620213.5682,0
2023-09-04,620909.8977,0
2023-09-01,620753.2642,0
2023-08-31,628175.5140,0
2023-08-29,622422.4913,0
2023-08-28,620462.2537,0
2023-08-25,621155.2425,0
2023-08-24,621729.9748,0
2023-08-23,615816.6318,0
2023-08-22,614261.7438,0
2023-08-21,610935.5692,0
2023-08-18,609569.8964,0
2023-08-17,607896.6375,0
2023-08-16,611543.5406,0
2023-08-15,611783.7891,0
2023-08-14,611563.4242,0
2023-08-11,612605.5806,0
2023-08-10,614618.0619,0
2023-08-09,619316.7070,0
2023-08-08,621691.2825,0
2023-08-07,618095.7219,0
2023-08-04,616281.5794,0
2023-08-03,608655.9837,0
2023-08-02,632562.0847,0
2023-07-31,644691.2050,0
2023-07-28,642198.2642,0
2023-07-27,652311.2712,0
2023-07-26,646609.1416,0
2023-07-25,645792.4550,0
2023-07-24,640967.5038,0
2023-07-21,640994.1718,0
2023-07-20,643807.1460,0
2023-07-19,636970.4859,0
2023-07-18,631881.5378,0
2023-07-17,622778.2113,0
2023-07-14,620860.5192,0
2023-07-13,616478.6457,0
2023-07-12,609246.7669,0
2023-07-11,602731.7725,0
2023-07-10,599540.0051,0
2023-07-07,588837.1634,0
2023-07-06,589149.1117,0
2023-07-05,589247.3671,0
2023-07-04,592069.9276,0
2023-06-28,591251.7768,0
2023-06-27,593858.9354,0
2023-06-26,591173.0150,0
2023-06-23,586842.2293,0
2023-06-22,593181.7670,0
2023-06-21,593437.0881,0
2023-06-20,596678.0432,0
2023-06-19,604530.8340,0
2023-06-16,614583.0425,0
2023-06-15,596714.4600,0
2023-06-14,590589.9481,0
2023-06-13,588064.9217,0
2023-06-12,579452.0471,0
2023-06-09,575798.8152,0
2023-06-08,566075.0468,0
2023-06-07,572183.5668,0
2023-06-06,572133.7665,0
2023-06-05,568579.4724,0
2023-06-02,578395.8600,0
2023-06-01,574644.7427,0
2023-05-31,577375.2505,0
2023-05-30,577206.5770,0
2023-05-29,582001.2715,0
2023-05-26,590203.5123,0
2023-05-25,593510.7745,0
2023-05-24,601718.6247,0
2023-05-23,600234.0551,0
2023-05-22,607552.8812,0
2023-05-19,598983.2636,0
2023-05-18,610045.4624,0
2023-05-17,618174.6204,0
2023-05-16,630511.5769,0
2023-05-15,630846.4773,0
2023-05-12,631042.0509,0
2023-05-11,643440.8982,0
2023-05-10,646412.6109,0
2023-05-09,644578.0834,0
2023-05-08,645062.0265,0
2023-05-04,653817.9463,0
2023-05-03,647542.1215,0
2023-05-02,636985.8250,0
2023-04-28,639888.9018,0
2023-04-27,642714.8086,0
2023-04-26,642879.2980,0
2023-04-25,642565.4130,0
2023-04-24,637498.2041,0
2023-04-21,643079.0489,0
2023-04-20,639312.6741,0
2023-04-19,643259.3376,0
2023-04-18,639092.3755,0
2023-04-17,640709.1982,0
2023-04-12,645033.4988,0
2023-04-11,638640.9352,0
2023-04-10,637805.9734,0
2023-04-06,645929.0931,0
2023-04-04,641219.6206,0
2023-04-03,641145.1125,0
2023-03-31,649005.9067,0
2023-03-30,638308.8637,0
2023-03-29,635279.5251,0
2023-03-28,627554.8604,0
2023-03-27,633311.8799,0
2023-03-24,634623.7359,0
2023-03-23,626798.2959,0
2023-03-22,624631.9282,0
2023-03-21,663595.4026,0
2023-03-20,662084.0501,0
2023-03-17,648208.6480,0
2023-03-16,644344.3034,0
2023-03-15,622995.3027,0
2023-03-14,615386.9902,0
2023-03-13,600794.5877,0
2023-03-10,583174.8619,0
2023-03-09,579591.2404,0
2023-03-08,591799.8372,0
2023-03-07,624541.3189,0
2023-03-03,637009.6092,0
2023-03-02,648886.6779,0
2023-03-01,655376.5151,0
2023-02-28,657645.5099,0
2023-02-27,657461.3542,0
2023-02-24,661724.0328,0
2023-02-23,661194.0452,0
2023-02-22,664090.0795,0
2023-02-21,666880.0170,0
2023-02-20,667014.9408,0
2023-02-17,662148.9264,0
2023-02-16,666551.6832,0
2023-02-15,672201.2544,0
2023-02-14,672163.2528,0
2023-02-13,673560.2640,0
2023-02-10,673992.1715,0
2023-02-09,680193.7152,0
2023-02-08,679312.0496,0
2023-02-07,678039.7602,0
2023-02-06,678528.1539,0
2023-02-03,693599.0914,0
2023-02-02,707335.4694,0
2023-02-01,697267.9774,0
2023-01-31,697239.0062,0
2023-01-30,697208.2243,0
2023-01-27,698312.7513,0
2023-01-26,704726.2507,0
2023-01-25,702391.2120,0
2023-01-24,700752.4380,0
2023-01-23,700546.0068,0
2023-01-20,699495.7900,0
2023-01-19,689535.2806,0
2023-01-18,691197.3888,0
2023-01-17,692025.1072,0
2023-01-13,687493.4848,0
2023-01-12,681960.2688,0
2023-01-11,679382.9312,0
2023-01-10,678500.4368,0
2023-01-09,681633.8639,0
2023-01-05,673465.5637,0
2023-01-04,670070.4852,0
2023-01-03,665077.7227,0
2023-01-02,662292.6508,0
2022-12-30,659752.7145,0
2022-12-29,656700.6329,0
2022-12-28,657493.3325,0
2022-12-27,655666.0095,0
2022-12-23,651638.2205,0
2022-12-22,660564.4346,0
2022-12-21,659692.8506,0
2022-12-20,648767.5099,0
2022-12-19,652006.1586,0
2022-12-16,647228.5257,0
